Case ID,Case Type,Court Type,Judge Name,Lawyer Name,Case Start Date,Case End Date,Judge Experience (Years),Lawyer Experience (Years),Case Duration (Days),Case Outcome,Lawyer Firm,Case Complexity Level,Case Status
35,Civil,High Court,Chad Henry,Michelle Bennett,2024-01-25,2024-06-05,18,26,132,Settlement,Davis Law Firm,High,Open
36,Corporate,High Court,Kevin Meza,Nicole Stewart,2024-06-13,2024-07-26,7,34,43,Conviction,Davis Legal Services,Medium,Pending
37,Criminal,Commercial Court,Natalie Hogan,Amy Powers,2023-10-13,2024-09-30,21,12,353,Settlement,Young & Associates,Medium,Open
38,Civil,Small Claims Court,James Smith,Samuel Wade,2022-01-15,2023-12-19,25,14,703,Settlement,Clark & Harris,High,Pending
39,Property,Commercial Court,Jonathan Parker,Matthew Padilla,2021-06-25,2024-12-05,13,31,1259,Pending,Lee & Partners,Medium,Closed
40,Property,High Court,Deborah Spencer,Megan Taylor,2024-11-18,2024-12-30,13,26,42,Judgment for Plaintiff,Lee & Partners,Medium,Closed
41,Civil,Small Claims Court,Brenda Rodgers,Casey Lawrence,2021-05-14,2024-11-30,38,24,1296,Settlement,Black Legal Solutions,Medium,Closed
42,Family,Small Claims Court,Donald Spence,Ryan Stewart,2023-11-25,2023-12-24,30,4,29,Dismissal,Davis Legal Services,Low,Closed
43,Civil,District Court,Tanner Rodriguez IV,Timothy Lane,2024-07-02,2024-08-30,38,25,59,Conviction,Carter Law,Low,Open
44,Family,High Court,Amy Silva,James Bishop,2022-07-20,2022-08-08,22,10,19,Dismissal,Davis Law Firm,Low,Open
45,Family,District Court,Bonnie King,Erin Hernandez,2022-10-14,2023-09-18,9,2,339,Conviction,Smith & Co,Low,Open
46,Criminal,District Court,Thomas Williams,Sabrina Liu,2022-08-22,2024-08-10,14,6,719,Acquittal,Clark & Harris,Medium,Open
47,Civil,Commercial Court,Kelly Nelson,Sean Delacruz,2021-04-17,2024-05-01,7,4,1110,Acquittal,Young & Associates,High,Pending
48,Criminal,Small Claims Court,Katherine Gonzalez,Noah Mack,2020-08-07,2024-05-04,23,33,1366,Judgment for Plaintiff,Lee & Partners,Low,Pending
49,Property,District Court,Patrick Flores,Jeffrey Jones,2024-04-23,2024-10-23,22,6,183,Pending,Young & Associates,Medium,Open
50,Corporate,District Court,Michael Scott,Monique Grant,2022-05-02,2023-10-16,13,32,532,Settlement,Smith & Co,Medium,Pending
51,Criminal,Small Claims Court,Jordan Hill,Alyssa Burke,2022-12-17,2024-02-22,15,34,432,Conviction,Davis Legal Services,Low,Pending
52,Criminal,High Court,Miguel Franklin,Mariah Ramirez,2024-03-01,2024-07-31,5,5,152,Judgment for Plaintiff,Clark & Harris,High,Open
53,Family,Family Court,Andrew Graham,Brett Hill,2021-01-02,2022-07-18,14,1,562,Pending,Davis Law Firm,High,Open
54,Corporate,Small Claims Court,Sheila Young,Anna Wallace,2024-09-04,2024-10-26,5,15,52,Dismissal,Lee & Partners,Medium,Open
55,Civil,Family Court,Vicki Reynolds,Andrew Davis,2021-06-20,2023-08-15,36,3,786,Pending,Carter Law,Low,Pending
56,Criminal,High Court,Kenneth Hawkins,Vanessa Miller,2023-03-23,2024-10-14,32,29,571,Conviction,Davis Law Firm,High,Pending
57,Property,District Court,Christopher Wilson,Deborah Smith,2023-04-22,2023-05-13,31,2,21,Acquittal,Smith & Co,High,Open
58,Family,Family Court,Marcus Johnson,Austin Bond,2022-05-16,2022-09-19,39,16,126,Acquittal,Black Legal Solutions,High,Open
59,Property,District Court,Morgan Lindsey,Heidi Moore,2023-09-18,2023-11-24,6,4,67,Judgment for Plaintiff,Davis Law Firm,Medium,Pending
60,Property,Small Claims Court,Jeremy Martinez,William Roberts,2020-12-14,2023-04-19,40,29,856,Dismissal,Wilson Legal,Low,Closed
61,Criminal,High Court,Brian Clark,Melissa Thomas,2020-10-29,2023-03-07,24,29,859,Settlement,Carter Law,Low,Closed
62,Family,High Court,Shelly Perkins,Frederick Davis,2024-04-05,2024-04-11,17,10,6,Settlement,Lee & Partners,High,Open
63,Property,District Court,Steven Hammond,Mary Robinson,2022-08-22,2023-06-09,24,23,291,Acquittal,Wilson Legal,Low,Pending
64,Property,District Court,Rodney Rivera,Perry Gutierrez,2022-09-08,2022-09-20,34,2,12,Settlement,Davis Law Firm,Low,Pending
65,Criminal,High Court,Gregory Perry,Joseph Martin,2021-01-09,2022-01-19,33,25,375,Acquittal,Wilson Legal,High,Open
66,Corporate,Family Court,Donald Watts,Lisa Smith,2021-10-17,2022-12-15,31,17,424,Acquittal,Lee & Partners,High,Open
67,Family,District Court,Terri Collins,Kathryn Harris,2022-01-21,2022-04-18,11,1,87,Judgment for Plaintiff,Carter Law,Medium,Closed
68,Criminal,Family Court,Cory Mullins,Angela Hammond,2022-12-05,2023-02-21,8,21,78,Conviction,Clark & Harris,High,Closed
69,Property,Family Court,Justin Chung,Damon Jackson,2022-05-31,2023-02-17,22,24,262,Judgment for Plaintiff,Davis Law Firm,High,Closed
70,Civil,District Court,Jordan Lopez,Stephanie Lloyd,2021-04-16,2023-07-31,5,35,836,Judgment for Plaintiff,Wilson Legal,High,Open
71,Criminal,Family Court,Henry Fisher,Mrs. Emily Williams,2023-12-14,2024-02-01,37,24,49,Dismissal,Davis Law Firm,Medium,Closed
72,Family,Family Court,Jose Andrews,Sandra Wright,2022-02-27,2023-09-08,21,25,558,Pending,Carter Law,Low,Pending
73,Family,Small Claims Court,Shannon Christensen,Rachel Ellis,2021-09-15,2022-04-02,36,7,199,Pending,Lee & Partners,Medium,Closed
74,Family,Family Court,Dale Gould,Pamela Anderson,2021-12-26,2024-10-03,13,6,1012,Conviction,Young & Associates,Medium,Open
75,Family,Commercial Court,Vincent Martinez,Diane Allen,2022-11-06,2023-09-22,5,21,320,Judgment for Plaintiff,Clark & Harris,Low,Pending
76,Civil,Family Court,Maureen Cain,Roberta Rodriguez,2023-01-11,2024-09-19,11,32,617,Dismissal,Clark & Harris,High,Closed
77,Civil,Small Claims Court,Madison Holt,Jason Smith,2023-05-31,2023-06-20,31,1,20,Conviction,Black Legal Solutions,Low,Closed
78,Criminal,Family Court,Hannah Brown,Gary Hamilton,2021-02-05,2024-03-25,17,8,1144,Acquittal,Carter Law,Low,Open
79,Civil,District Court,Nicolas Nolan,Elizabeth Harrington,2020-09-07,2023-04-26,33,34,961,Pending,Lee & Partners,Medium,Closed
80,Civil,High Court,Michael Wilson,Corey Porter,2022-05-27,2023-06-25,17,33,394,Conviction,Black Legal Solutions,Medium,Pending
81,Family,High Court,Michael Shaw,Erin Smith,2023-09-08,2024-10-12,37,25,400,Pending,Black Legal Solutions,Medium,Closed
82,Property,Small Claims Court,Michele Diaz,Amber Dennis,2024-01-06,2024-01-09,9,8,3,Pending,Smith & Co,Medium,Open
83,Corporate,District Court,Veronica Mitchell,Amber Moore,2021-10-08,2024-05-17,39,14,952,Pending,Black Legal Solutions,High,Open
84,Property,Family Court,Douglas Yates,Crystal Gould,2022-09-04,2022-11-11,24,22,68,Judgment for Plaintiff,Wilson Legal,High,Pending
85,Family,Small Claims Court,Mary Yu,Steven Patel,2024-05-16,2024-07-01,10,35,46,Pending,Smith & Co,Medium,Closed
86,Civil,District Court,Kevin Jackson,John Jarvis,2024-07-16,2024-08-22,27,17,37,Pending,Davis Law Firm,Low,Closed
87,Property,Commercial Court,David Ferguson,John Mcbride,2020-06-21,2022-05-23,25,1,701,Dismissal,Carter Law,Low,Pending
88,Corporate,Commercial Court,Lucas Kelly,Jo Graham,2024-08-17,2024-10-09,39,24,53,Conviction,Davis Law Firm,Medium,Closed
89,Civil,High Court,Krista Mills,Samuel Allen,2023-12-20,2024-12-31,34,1,377,Conviction,Smith & Co,High,Open
90,Civil,District Court,Pamela Williams,John Burnett,2024-04-06,2024-09-13,34,17,160,Conviction,Black Legal Solutions,High,Closed
91,Family,High Court,Michael Garcia,Paul Reed,2020-12-21,2024-04-03,31,23,1199,Settlement,Smith & Co,High,Pending
92,Civil,High Court,Maxwell Smith,Joshua Franklin,2021-12-27,2023-11-15,40,2,688,Dismissal,Lee & Partners,Medium,Open
93,Property,Small Claims Court,Dominic Bishop,Thomas Hughes,2021-02-17,2022-01-26,11,3,343,Judgment for Plaintiff,Davis Legal Services,Medium,Pending
94,Criminal,Family Court,Cheryl Contreras,Sharon Thompson,2022-08-12,2024-08-23,39,9,742,Pending,Clark & Harris,Medium,Pending
95,Civil,High Court,Matthew Heath,Jason Mills,2024-12-06,2024-12-25,14,8,19,Pending,Black Legal Solutions,Medium,Closed
96,Civil,Small Claims Court,Kevin Hill,Erik Richard,2021-02-10,2023-11-30,7,27,1023,Settlement,Wilson Legal,Low,Closed
97,Family,Commercial Court,Aaron Clark,Jeffrey Barry,2020-11-28,2024-02-27,18,3,1186,Dismissal,Davis Legal Services,Medium,Closed
98,Corporate,Family Court,Kevin Daniels,Cassandra Mata,2020-03-23,2020-10-14,21,3,205,Pending,Black Legal Solutions,High,Pending
99,Civil,District Court,Becky Edwards,Robert Davis,2024-01-16,2024-08-20,10,26,217,Pending,Carter Law,High,Open
100,Corporate,Family Court,Amanda Nichols,Brenda Lewis,2020-04-23,2022-02-23,14,21,671,Pending,Carter Law,Medium,Open
101,Corporate,Family Court,John Sullivan,Elijah Perez,2024-07-17,2024-09-08,10,27,53,Conviction,Wilson Legal,Low,Pending
102,Family,Family Court,Stephanie Gonzalez,Tina Shea,2022-12-22,2023-12-08,15,18,351,Judgment for Plaintiff,Young & Associates,High,Closed
103,Property,District Court,Madison Freeman,Frank Malone,2024-11-07,2024-12-21,18,18,44,Judgment for Plaintiff,Davis Law Firm,Medium,Closed
104,Corporate,District Court,Dustin Guerra,Patricia Jones,2020-11-30,2022-01-29,21,14,425,Pending,Carter Law,Low,Closed
105,Property,High Court,Heather Henry,Rhonda Frederick,2024-12-06,2024-12-08,29,34,2,Pending,Wilson Legal,High,Open
106,Corporate,Family Court,Jason Thompson,Julie Garcia,2024-09-14,2024-11-15,40,23,62,Dismissal,Black Legal Solutions,Medium,Open
107,Civil,Commercial Court,Antonio Wagner,Shawn Garcia,2023-08-12,2024-02-14,17,13,186,Judgment for Plaintiff,Smith & Co,Low,Pending
108,Property,Commercial Court,Jordan Torres,Matthew Bright,2023-02-23,2024-12-02,24,7,648,Settlement,Davis Legal Services,Medium,Closed
109,Family,Commercial Court,Kara Monroe,Judy Nguyen,2021-02-23,2023-05-17,24,3,813,Judgment for Plaintiff,Clark & Harris,Medium,Open
110,Family,Commercial Court,Wesley Rice,Tamara Murphy,2022-03-10,2022-12-18,36,18,283,Settlement,Black Legal Solutions,Low,Closed
111,Criminal,District Court,Mr. Jerry Brown MD,Scott Shields,2024-03-26,2024-12-22,9,35,271,Judgment for Plaintiff,Carter Law,Low,Open
112,Property,District Court,Patricia Newman,Charles Hill,2025-01-01,2025-01-01,10,3,0,Acquittal,Smith & Co,Medium,Pending
113,Family,Commercial Court,Carol Smith,Aaron Cole,2024-07-09,2024-11-02,30,10,116,Dismissal,Davis Law Firm,High,Pending
114,Corporate,District Court,Andrew Rivera,Patty Long,2024-02-27,2024-12-30,29,17,307,Acquittal,Black Legal Solutions,High,Pending
115,Property,Commercial Court,Melissa Warner,William Osborne,2022-05-11,2022-05-31,16,31,20,Dismissal,Lee & Partners,Low,Pending
116,Criminal,District Court,Jason Roth,Mr. Daniel Fletcher,2020-12-08,2023-03-18,27,19,830,Dismissal,Smith & Co,Low,Open
117,Civil,Family Court,Joann Blake,Morgan Allen,2023-09-26,2024-05-07,37,10,224,Dismissal,Davis Law Firm,Medium,Closed
118,Property,Commercial Court,Kathy Smith,Robert Cook,2022-09-28,2023-07-15,15,2,290,Judgment for Plaintiff,Black Legal Solutions,High,Pending
119,Civil,High Court,Erin Benitez,Anthony Morris,2020-03-21,2022-09-01,16,3,894,Dismissal,Wilson Legal,Medium,Closed
120,Family,Commercial Court,David Landry,Benjamin Alexander,2021-09-02,2022-04-10,6,1,220,Settlement,Carter Law,High,Closed
121,Property,Commercial Court,Vernon Ayers,Mr. Steven Maynard,2024-11-04,2024-11-11,6,24,7,Conviction,Lee & Partners,Medium,Closed
122,Civil,Small Claims Court,Ryan Mckay,Whitney King,2020-08-27,2021-07-06,21,29,313,Conviction,Davis Legal Services,Medium,Pending
123,Corporate,Family Court,Jessica Reed,Cynthia Russell,2020-06-02,2021-09-08,11,12,463,Judgment for Plaintiff,Wilson Legal,High,Pending
124,Criminal,High Court,Steven Simmons,Jonathan Everett,2023-08-08,2024-11-14,30,20,464,Judgment for Plaintiff,Smith & Co,High,Open
125,Criminal,District Court,David Flores,Ronald Wallace,2024-08-05,2024-11-20,12,24,107,Dismissal,Davis Law Firm,High,Pending
126,Property,Commercial Court,Lindsey Diaz,Kristina Morgan,2020-12-17,2023-02-13,28,13,788,Settlement,Davis Law Firm,High,Open
127,Property,Family Court,Lauren Smith,Lindsey Rowe,2022-12-02,2024-04-28,31,24,513,Judgment for Plaintiff,Lee & Partners,Low,Open
128,Property,High Court,Wayne Zamora,David Griffith,2022-04-03,2022-05-09,8,26,36,Conviction,Young & Associates,Low,Open
129,Criminal,High Court,Jackson Burton,Ashley Weber,2021-11-24,2024-02-20,32,5,818,Dismissal,Carter Law,Low,Open
130,Civil,High Court,Julie Foster,Jared Johnson,2020-06-13,2023-05-02,5,18,1053,Conviction,Clark & Harris,Low,Closed
131,Civil,Commercial Court,Katrina Turner,Vanessa Hicks,2024-02-05,2024-12-16,14,33,315,Conviction,Davis Law Firm,Medium,Pending
132,Family,Commercial Court,Kristen Myers MD,Gary Brooks DDS,2020-02-09,2021-02-17,21,12,374,Acquittal,Davis Law Firm,Low,Closed
133,Criminal,Family Court,Austin Reese,Philip Lee,2020-05-10,2023-08-03,19,35,1180,Dismissal,Lee & Partners,Low,Pending
134,Family,Commercial Court,Mary Kelly,Denise Hall,2022-03-03,2024-02-21,13,20,720,Conviction,Young & Associates,Medium,Open
135,Property,High Court,Carrie Guzman,Adam Coleman,2021-09-27,2024-12-29,20,17,1189,Pending,Black Legal Solutions,Medium,Open
136,Civil,High Court,Elizabeth Clarke,Virginia Calhoun,2021-10-20,2024-11-05,15,5,1112,Acquittal,Davis Legal Services,Low,Open
137,Corporate,Family Court,Amber Mason,Catherine Chung,2024-03-10,2024-09-28,23,6,202,Acquittal,Davis Law Firm,High,Closed
138,Civil,District Court,Linda Gordon,Anthony Rowe,2022-08-22,2023-12-25,30,35,490,Conviction,Carter Law,High,Closed
139,Family,Commercial Court,Brad Greer,Paul Hayes,2021-04-29,2024-12-22,30,27,1333,Acquittal,Smith & Co,Low,Open
140,Civil,District Court,Rebecca Olsen,Amanda Jones,2021-06-02,2024-01-10,20,14,952,Settlement,Smith & Co,High,Closed
141,Criminal,Family Court,Patrick Kennedy,Charles Ramos,2020-07-16,2021-11-26,34,26,498,Judgment for Plaintiff,Davis Law Firm,Medium,Open
142,Corporate,High Court,Lisa Hunter,Evan Trujillo,2023-01-30,2023-02-28,30,10,29,Acquittal,Young & Associates,Low,Open
143,Civil,Commercial Court,Margaret Ballard,Jill Hart,2021-02-23,2022-03-19,30,9,389,Dismissal,Davis Law Firm,Low,Pending
144,Property,Commercial Court,Ronald Smith,Joseph Holloway,2023-10-22,2023-12-29,17,10,68,Dismissal,Carter Law,High,Open
145,Family,Family Court,Molly Morris,Donna Wilson,2021-10-13,2023-03-13,30,32,516,Dismissal,Lee & Partners,Low,Closed
146,Corporate,Small Claims Court,Elizabeth Johnson,Harold Bradley,2024-03-17,2024-12-29,19,35,287,Settlement,Carter Law,Low,Pending
147,Civil,Commercial Court,Nicole Erickson,Janet Jennings,2024-11-08,2024-11-16,20,31,8,Judgment for Plaintiff,Wilson Legal,Low,Closed
148,Corporate,District Court,Deanna Daniels,Jill Williams,2022-05-05,2023-03-05,26,15,304,Judgment for Plaintiff,Young & Associates,Medium,Pending
149,Criminal,District Court,Ashley Montgomery,Adam Haynes,2024-04-30,2024-10-24,16,33,177,Acquittal,Black Legal Solutions,Low,Closed
150,Criminal,Family Court,Lisa Robinson,Ryan Allen,2021-11-09,2024-01-22,20,21,804,Settlement,Davis Law Firm,High,Closed
151,Property,Small Claims Court,Timothy Sampson,Linda Blackwell,2023-02-01,2023-10-06,38,9,247,Judgment for Plaintiff,Young & Associates,Low,Pending
152,Property,District Court,Cynthia Rowe,Katie Smith DVM,2020-10-19,2023-04-23,31,6,916,Conviction,Lee & Partners,High,Closed
153,Criminal,District Court,Tina Jensen,Melissa Davis,2021-01-14,2024-07-02,13,12,1265,Pending,Clark & Harris,High,Pending
154,Family,Commercial Court,Michael Jones,Joseph Snyder,2022-07-14,2023-01-12,28,21,182,Settlement,Wilson Legal,Medium,Pending
155,Criminal,Small Claims Court,Sabrina Vincent,Douglas Hicks,2023-01-31,2023-12-27,7,35,330,Conviction,Davis Law Firm,Medium,Closed
156,Corporate,Commercial Court,Melissa Lamb,Anthony Barnes,2023-11-24,2024-02-09,25,4,77,Pending,Black Legal Solutions,Medium,Pending
157,Criminal,Small Claims Court,Miss Patricia Marquez,Katelyn Buchanan,2024-07-14,2024-11-08,29,7,117,Pending,Smith & Co,High,Closed
158,Criminal,Commercial Court,David Jackson,Debbie Hartman,2024-04-17,2024-12-22,16,24,249,Conviction,Wilson Legal,High,Pending
159,Corporate,District Court,Krista Holmes,Meredith Ruiz,2023-06-02,2023-11-30,40,35,181,Settlement,Wilson Legal,Medium,Closed
160,Property,Family Court,Ronald Green,Shawn Simon,2020-05-15,2022-02-18,6,15,644,Conviction,Clark & Harris,Medium,Closed
161,Family,High Court,William Herman,Angela Terry,2023-03-26,2024-09-28,30,25,552,Acquittal,Wilson Legal,Medium,Open
162,Criminal,Family Court,Barbara Contreras,Stephanie Sanchez,2021-06-12,2024-02-27,22,13,990,Pending,Smith & Co,High,Closed
163,Criminal,Family Court,Dr. Shawn Brown,Melody Howard,2023-03-27,2024-05-24,39,24,424,Conviction,Young & Associates,Medium,Pending
164,Corporate,Family Court,Brittany Kelly,Michael Baker,2021-03-28,2021-05-24,32,8,57,Acquittal,Black Legal Solutions,Low,Pending
165,Criminal,District Court,John Munoz,Jennifer Smith,2021-05-18,2023-11-07,32,28,903,Settlement,Smith & Co,Medium,Open
166,Civil,Small Claims Court,John Gates,Heather Perry,2020-09-17,2021-01-29,18,22,134,Conviction,Clark & Harris,High,Pending
167,Property,Family Court,Chad Cohen,Jacqueline Davidson,2021-10-09,2022-05-24,31,33,227,Dismissal,Wilson Legal,Low,Open
168,Civil,District Court,Patricia Freeman,Erica Erickson,2021-10-25,2021-11-19,15,26,25,Dismissal,Carter Law,Low,Pending
169,Civil,Family Court,Caroline Edwards,Laura Vasquez,2022-05-31,2022-07-26,14,32,56,Acquittal,Young & Associates,Low,Closed
170,Civil,Commercial Court,Megan Palmer,Kelly Lee,2022-08-04,2024-03-09,19,22,583,Dismissal,Lee & Partners,Low,Open
171,Criminal,Commercial Court,Cynthia Sexton,Kathryn Valenzuela,2020-02-02,2023-04-12,34,8,1165,Conviction,Clark & Harris,Medium,Open
172,Civil,District Court,Sharon Morgan,Shelia Hughes,2022-03-02,2023-09-09,34,29,556,Pending,Clark & Harris,Low,Open
173,Criminal,District Court,Paul Huang,Jason Edwards,2021-07-22,2021-07-29,9,17,7,Judgment for Plaintiff,Davis Legal Services,Low,Open
174,Property,High Court,Justin Miller,Ashley Burgess,2024-08-01,2024-09-16,32,26,46,Pending,Black Legal Solutions,High,Open
175,Corporate,High Court,John Flynn,Stephen Kim,2022-09-27,2024-12-12,36,21,807,Conviction,Davis Legal Services,Low,Pending
176,Property,Small Claims Court,Jeremy Price,Michelle White,2022-07-26,2024-02-22,8,25,576,Acquittal,Clark & Harris,High,Pending
177,Corporate,District Court,Adam Tate,Brandon Olsen,2023-12-02,2024-11-22,9,5,356,Pending,Davis Law Firm,High,Open
178,Civil,High Court,Lauren Bryan,Douglas Villegas,2020-12-03,2021-09-29,18,21,300,Conviction,Davis Law Firm,Medium,Closed
179,Civil,Small Claims Court,Katherine Blair,Michael Medina,2020-11-07,2021-01-16,24,33,70,Settlement,Lee & Partners,Medium,Pending
180,Corporate,High Court,Courtney Richard,Laura Malone,2021-01-29,2022-07-11,40,4,528,Judgment for Plaintiff,Smith & Co,Low,Closed
181,Civil,Small Claims Court,Bryan Mccann,Janice Hudson,2024-12-18,2024-12-28,10,27,10,Acquittal,Young & Associates,Low,Pending
182,Family,District Court,Jaclyn Kennedy,Lisa Hicks,2020-03-12,2021-11-20,30,25,618,Pending,Wilson Legal,Low,Closed
183,Property,Small Claims Court,Joel Goodman,Amanda Baxter,2023-06-10,2024-11-20,16,22,529,Judgment for Plaintiff,Carter Law,Low,Pending
184,Corporate,Family Court,Charles Velasquez,Joan Mitchell,2020-03-12,2022-06-21,36,28,831,Acquittal,Wilson Legal,High,Open
185,Family,District Court,Jill Allen,Kyle Gonzalez,2022-08-24,2024-02-16,29,8,541,Acquittal,Lee & Partners,Medium,Open
186,Property,Family Court,Mr. Benjamin Campbell,Benjamin Cook,2023-12-12,2024-07-07,11,34,208,Judgment for Plaintiff,Young & Associates,Medium,Pending
187,Property,Family Court,Anna Orr,Janice Young,2023-06-03,2023-10-30,30,17,149,Conviction,Davis Legal Services,Low,Pending
188,Family,District Court,Suzanne Green,Gary Reid,2021-03-11,2022-01-14,11,19,309,Settlement,Carter Law,High,Pending
189,Criminal,District Court,Maria Bishop,Casey Glenn,2022-10-28,2022-12-05,11,3,38,Dismissal,Black Legal Solutions,Low,Open
190,Family,High Court,Jim Ortiz,Mrs. Mary Clay DDS,2024-04-15,2024-09-03,28,25,141,Dismissal,Lee & Partners,High,Pending
191,Criminal,District Court,Christopher King,Sean Carey,2023-07-01,2023-09-20,26,26,81,Settlement,Lee & Partners,Low,Open
192,Family,Small Claims Court,Mr. David Stout,Matthew Young,2020-11-26,2021-02-23,31,32,89,Judgment for Plaintiff,Davis Law Firm,Medium,Pending
193,Civil,Family Court,Steven Ortega,Drew Hull,2024-01-27,2024-05-21,16,13,115,Conviction,Davis Legal Services,Low,Pending
194,Criminal,Family Court,David Wade,Amanda Davis,2022-08-11,2023-09-03,24,29,388,Settlement,Lee & Partners,Medium,Open
195,Family,High Court,Olivia Lopez,Christopher Campbell,2021-09-17,2021-12-20,30,25,94,Acquittal,Carter Law,Medium,Open
196,Corporate,Commercial Court,Brian Davis,Stephanie Drake,2024-08-27,2024-12-04,7,22,99,Dismissal,Davis Legal Services,Medium,Open
197,Family,Small Claims Court,William Caldwell,Brandon Green,2021-06-11,2022-07-11,11,35,395,Settlement,Smith & Co,High,Pending
198,Civil,Commercial Court,Felicia Proctor,Laura Villarreal,2023-10-31,2024-03-08,13,30,129,Conviction,Davis Law Firm,Low,Closed
